Curso;Unidade de execução;Turno;Turma;Inscritos no turno;Turnos com capacidade superior à capacidade das características das salas;Turno com inscrições superiores à capacidade das salas;Dia da Semana;Início;Fim;Dia;Características da sala pedida para a aula;Sala da aula;Lotação;Características reais da sala
LSS-PL;Abordagens à Psicopatologia;02852TP01;SS-PL-C2, SS-PL-C1;60;VERDADEIRO;FALSO;Seg;18:00:00;19:30:00;28/11/2022;Sala de Aulas normal;C4.06;68;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LSS-PL;Abordagens à Psicopatologia;02852TP01;SS-PL-C2, SS-PL-C1;60;VERDADEIRO;FALSO;Seg;16:30:00;18:00:00;28/11/2022;Sala de Aulas normal;C4.06;68;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LS, LS-PL;Objecto e Método da Sociologia;L5410TP02;SA2;31;FALSO;FALSO;Qua;09:30:00;11:00:00;30/11/2022;Sala de Aulas normal;1E10;50;Sala/anfiteatro aulas, Horário sala visível portal público
LETI;Electrónica Programada e Processamento Digital de Sinais;L2004PL04;ET-C3, ET-C2, ET-C1;37;FALSO;FALSO;Ter;14:30:00;16:00:00;29/11/2022;Lab ISTA;C7.08;86;Laboratório de Electrónica, Horário sala visível portal público, Lab ISTA
LCD, LCD-PL;Análise de Redes (1ciclo);03604TP03;CDC1PL;24;FALSO;FALSO;Ter;19:30:00;21:00:00;29/11/2022;BYOD (Bring Your Own Device);D1.07;27;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público
LCD, LCD-PL;Análise de Redes (1ciclo);03604TP03;CDC1PL;24;FALSO;FALSO;Sex;18:00:00;19:30:00;02/12/2022;BYOD (Bring Your Own Device);C6.08;56;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), videoconferencia, Horário sala visível portal público
LCD, LCD-PL;Análise de Redes (1ciclo);03604TP03;CDC1PL;24;FALSO;FALSO;Ter;18:00:00;19:30:00;29/11/2022;BYOD (Bring Your Own Device);D1.07;27;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), Horário sala visível portal público
LCD, LCD-PL;Análise de Redes (1ciclo);03604TP03;CDC1PL;24;FALSO;FALSO;Sex;19:30:00;21:00:00;02/12/2022;BYOD (Bring Your Own Device);C6.08;56;Sala/anfiteatro aulas, BYOD (Bring Your Own Device), videoconferencia, Horário sala visível portal público
CT, LCP, LS, LS-PL;Pesquisa Bibliográfica e Análise da Informação;00678TP10;CT-ESPP-09, CT-ESPP-06, CI-CT-05;21;FALSO;FALSO;Sex;13:00:00;15:00:00;02/12/2022;Laboratório de Informática;D1.01;35;Horário sala visível portal público, Laboratório de Informática
LFC;Finanças Internacionais;L0626TP02;FCC3;39;VERDADEIRO;FALSO;Ter;11:00:00;12:30:00;29/11/2022;Sala de Aulas normal;C5.02;46;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LFC;Finanças Internacionais;L0626TP02;FCC3;39;VERDADEIRO;FALSO;Seg;09:30:00;11:00:00;28/11/2022;Sala de Aulas normal;C5.02;46;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
MM;Gestão de Comunicação;01815TP02;MMA1;48;FALSO;VERDADEIRO;Ter;08:00:00;09:30:00;29/11/2022;Sala/anfiteatro aulas;C3.02;38;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
MM;Gestão de Comunicação;01815TP02;MMA1;48;FALSO;VERDADEIRO;Ter;09:30:00;11:00:00;29/11/2022;Sala Aulas Mestrado;C3.02;38;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LGRH;Diagnóstico e Mudança Organizacional;DMOTP01;GRHC1;29;FALSO;FALSO;Seg;11:00:00;12:30:00;28/11/2022;Sala de Aulas normal;C5.01;58;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LGRH;Diagnóstico e Mudança Organizacional;DMOTP01;GRHC1;29;FALSO;FALSO;Seg;09:30:00;11:00:00;28/11/2022;Sala de Aulas normal;C5.01;58;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
MIA;Arquitectura III;L2245PL01;ARQ-B2, ARQ-B1;25;FALSO;FALSO;Sex;16:00:00;17:30:00;02/12/2022;Arq 1;B3.01;87;Sala de Arquitectura, Arq 1, Horário sala visível portal público
MIA;Arquitectura III;L2245PL01;ARQ-B2, ARQ-B1;25;FALSO;FALSO;Sex;13:00:00;14:30:00;02/12/2022;Arq 1;B3.01;87;Sala de Arquitectura, Arq 1, Horário sala visível portal público
MIA;Arquitectura III;L2245PL01;ARQ-B2, ARQ-B1;25;FALSO;FALSO;Sex;14:30:00;16:00:00;02/12/2022;Arq 1;B3.01;87;Sala de Arquitectura, Arq 1, Horário sala visível portal público
MIA;Arquitectura III;L2245PL01;ARQ-B2, ARQ-B1;25;FALSO;FALSO;Ter;16:00:00;17:30:00;29/11/2022;Arq 1;B3.01;87;Sala de Arquitectura, Arq 1, Horário sala visível portal público
MIA;Arquitectura III;L2245PL01;ARQ-B2, ARQ-B1;25;FALSO;FALSO;Ter;14:30:00;16:00:00;29/11/2022;Arq 1;B3.01;87;Sala de Arquitectura, Arq 1, Horário sala visível portal público
MIA;Arquitectura III;L2245PL01;ARQ-B2, ARQ-B1;25;FALSO;FALSO;Ter;13:00:00;14:30:00;29/11/2022;Arq 1;B3.01;87;Sala de Arquitectura, Arq 1, Horário sala visível portal público
GSM;Mar e Globalização;MGlobTP01;MGSMA1;43;VERDADEIRO;FALSO;Ter;20:00:00;22:00:00;29/11/2022;Sala Aulas Mestrado;1E05;52;Sala/anfiteatro aulas, Horário sala visível portal público
CT;Português Como Língua Estrangeira - Iniciação;01805T02;CI-CT-02;30;VERDADEIRO;FALSO;Seg;16:00:00;18:00:00;28/11/2022;Sala de Aulas normal;AA3.29;50;Sala/anfiteatro aulas, Horário sala visível portal público
LETI, LEI, LEI-PL, LIGE, LIGE-PL;Arquitetura de Redes;03708TP05;EI-C6, EI-C5, EI-C4;32;VERDADEIRO;FALSO;Qua;13:00:00;14:30:00;30/11/2022;Sala de Aulas normal;C4.02;46;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
MAH;Política Internacional e Geopolítica;PIGeoTP01;MAHA1;52;VERDADEIRO;VERDADEIRO;Qua;20:30:00;22:30:00;30/11/2022;Sala Aulas Mestrado;AA2.29;50;Sala/anfiteatro aulas, Horário sala visível portal público
LCP;Introdução à Ciência Política;L5402TP01;CPA2, CPA1;66;VERDADEIRO;VERDADEIRO;Seg;16:00:00;17:30:00;28/11/2022;Sala de Aulas normal;C4.07;68;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LCP;Introdução à Ciência Política;L5402TP01;CPA2, CPA1;66;VERDADEIRO;VERDADEIRO;Seg;14:30:00;16:00:00;28/11/2022;Sala de Aulas normal;C4.07;68;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LS, LS-PL;Objecto e Método da Sociologia;L5410TP06;SA3;30;FALSO;FALSO;Ter;11:00:00;12:30:00;29/11/2022;Sala de Aulas normal;1E08;50;Sala/anfiteatro aulas, Horário sala visível portal público
LP;Competências Académicas I;L5205PL01;PA1;32;FALSO;FALSO;Qua;14:30:00;16:00:00;30/11/2022;Sala de Aulas normal;2E10;50;Sala/anfiteatro aulas, Horário sala visível portal público
LEI, LEI-PL;Probabilidades e Processos Estocásticos;PPETP03;EI-PL-B2, EI-PL-B1;57;FALSO;FALSO;Ter;18:00:00;19:30:00;29/11/2022;Sala/anfiteatro aulas;C5.06;70;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
LEI, LEI-PL;Probabilidades e Processos Estocásticos;PPETP03;EI-PL-B2, EI-PL-B1;57;FALSO;FALSO;Sex;18:00:00;19:30:00;02/12/2022;Sala de Aulas normal;C5.06;70;Sala/anfiteatro aulas, videoconferencia, Horário sala visível portal público
PGDCom, MPCPCJR, MPSS;Psicologia Comunitária;M7403TP02;MPCPCJRA1;44;FALSO;FALSO;Qua;13:30:00;15:30:00;30/11/2022;Sala Aulas Mestrado;Auditório Silva Leal;60;Sala/anfiteatro aulas, Horário sala visível portal público
PGDCom, MPCPCJR, MPSS;Psicologia Comunitária;M7403TP02;MPCPCJRA1;44;FALSO;FALSO;Qua;15:30:00;17:30:00;30/11/2022;Sala Aulas Mestrado;Auditório Silva Leal;60;Sala/anfiteatro aulas, Horário sala visível portal público
